Tr CF, SWiM Ch, Primary Tr CF, Primary Tr BW,Primary Power, Upper CF, Upper BW, Upper Power, Lower CF, Lower BW, Lower Power,Total Integrated Power, SLG Primary, SLG Upper, SLG Lower, Output Primary, Output Upper, Output Lower
MHz, ,MHz, MHz, dBm, MHz, MHz, dBm, MHz, MHz, dBm, dBm, ,,,,,
1032,1,974,24,-39,994,6,-45.1,954,6,-56.1,-38,1,1,1,1,19,10
1032,2,1025,24,-39.3,1045,6,-45.4,1005,6,-56.4,-38.3,1,1,2,2,11,11
1032,3,1076,24,-39.5,1096,6,-45.6,1056,6,-56.6,-38.5,1,1,1,3,21,12
1032,4,1127,24,-39.7,1147,6,-45.8,1107,6,-56.8,-38.7,1,1,1,4,22,13
1032,5,1178,24,-40,1198,6,-46.1,1158,6,-57.1,-39,1,1,1,5,23,14
1032,6,1229,24,-40.2,1249,6,-46.3,1209,6,-57.3,-39.2,1,1,1,6,24,15
1032,7,1280,24,-40.5,1300,6,-46.6,1260,6,-57.6,-39.5,1,1,1,7,25,16
1032,8,1331,24,-40.7,1351,6,-46.8,1311,6,-57.8,-39.7,1,1,1,8,26,17
1032,9,1382,24,-41,1402,6,-47.1,1362,6,-58.1,-40,1,1,1,9,27,18
1032,10,1433,24,-41.2,1453,6,-47.3,1413,6,-58.3,-40.2,2,2,2,1,13,7
1032,11,1484,24,-41.4,1504,6,-47.5,1464,6,-58.5,-40.4,2,2,2,2,14,8
1032,12,1535,24,-41.7,1555,6,-47.8,1515,6,-58.8,-40.7,2,2,2,3,15,9
1032,13,1586,24,-41.9,1606,6,-48,1566,6,-59,-40.9,2,2,2,4,16,10
1032,14,1637,24,-42.2,1657,6,-48.3,1617,6,-59.3,-41.2,2,2,2,5,17,11
1032,15,1688,24,-42.4,1708,6,-48.5,1668,6,-59.5,-41.4,2,2,2,6,18,12
1032,16,1739,24,-42.6,1759,6,-48.7,1719,6,-59.7,-41.6,3,3,3,1,17,9
1032,17,1790,24,-42.9,1810,6,-49,1770,6,-60,-41.9,3,3,3,2,18,10
1032,18,1842,24,-43.1,1862,6,-49.2,1822,6,-60.2,-42.1,3,3,3,3,19,11
1032,19,1893,24,-43.4,1913,6,-49.5,1873,6,-60.5,-42.4,3,3,3,4,20,12
1032,20,1944,24,-43.6,1964,6,-49.7,1924,6,-60.7,-42.6,3,3,3,5,21,13
1032,21,1995,24,-43.9,2015,6,-50,1975,6,-61,-42.9,3,3,3,6,22,14
1032,22,2046,24,-44.1,2066,6,-50.2,2026,6,-61.2,-43.1,3,3,3,7,23,15
1003,23,2097,24,-56.9,2117,6,-52,2077,6,-52,-48.3,3,3,3,8,24,16
