Frequency (Hz),AIM loss (dB),FSW loss (dB)
250000000,-7.824,-15.975
270000000,-7.909,-16.044
290000000,-7.9265,-16.084
310000000,-7.941,-16.125
330000000,-7.9985,-16.19
350000000,-8.0445,-16.25
370000000,-8.0645,-16.297
390000000,-8.129,-16.32
410000000,-8.1755,-16.412
430000000,-8.218,-16.451
450000000,-8.2345,-16.514
470000000,-8.2735,-16.566
490000000,-8.582,-16.754
510000000,-8.589,-16.814
530000000,-8.6185,-16.847
550000000,-8.638,-16.879
570000000,-8.7005,-16.946
590000000,-8.7215,-16.981
610000000,-8.744,-17
630000000,-8.799,-17.081
650000000,-8.8245,-17.09
670000000,-8.846,-17.143
690000000,-8.876,-17.205
710000000,-8.9055,-17.182
730000000,-8.9715,-17.259
750000000,-8.971,-17.275
770000000,-9.0185,-17.329
790000000,-9.074,-17.386
810000000,-9.0565,-17.38
830000000,-9.1515,-17.45
850000000,-9.13,-17.466
870000000,-9.1855,-17.491
890000000,-9.2025,-17.516
910000000,-9.2445,-17.558
930000000,-9.221,-17.563
950000000,-9.2885,-17.6
970000000,-9.297,-17.642
990000000,-9.3525,-17.654
1010000000,-9.358,-17.707
1030000000,-9.407,-17.72
1050000000,-9.463,-17.74
1070000000,-9.419,-17.791
1090000000,-9.476,-17.805
1110000000,-9.496,-17.786
1130000000,-9.547,-17.863
1150000000,-9.576,-17.883
1170000000,-9.624,-17.878
1190000000,-9.603,-17.915
1210000000,-9.661,-17.947
1230000000,-9.654,-17.976
1250000000,-9.7115,-17.992
1270000000,-9.7255,-17.997
1290000000,-9.7725,-18.034
1310000000,-9.796,-18.062
1330000000,-9.8165,-18.061
1350000000,-9.826,-18.094
1370000000,-9.871,-18.131
1390000000,-9.917,-18.137
1410000000,-9.915,-18.17
1430000000,-9.96,-18.191
1450000000,-10.012,-18.213
1470000000,-10.034,-18.257
1490000000,-10.036,-18.233
1510000000,-10.0635,-18.242
1530000000,-10.097,-18.316
1550000000,-10.134,-18.28
1570000000,-10.121,-18.301
1590000000,-10.1705,-18.33
1610000000,-10.208,-18.352
1630000000,-10.2315,-18.413
1650000000,-10.265,-18.414
1670000000,-10.273,-18.394
1690000000,-10.2905,-18.434
1710000000,-10.3795,-18.47
1730000000,-10.3475,-18.45
1750000000,-10.394,-18.492
1770000000,-10.427,-18.506
1790000000,-10.47,-18.563
1810000000,-10.513,-18.596
1830000000,-10.523,-18.591
1850000000,-10.5595,-18.612
1870000000,-10.568,-18.628
1890000000,-10.63,-18.637
1910000000,-10.595,-18.66
1930000000,-10.6775,-18.691
1950000000,-10.6975,-18.708
1970000000,-10.74,-18.783
1990000000,-10.766,-18.764
2010000000,-10.7665,-18.797
2030000000,-10.8285,-18.865
2050000000,-10.852,-18.815
2070000000,-10.8675,-18.87
2090000000,-10.8885,-18.926
2110000000,-10.931,-18.882
2130000000,-10.931,-18.926
2150000000,-10.976,-18.972
