timestamp,Desired Frequency (Hz),Measured Power (dB)
2017-02-13T11:39:19.530939,954000000,-63.3501243591
2017-02-13T11:39:22.573113,1005000000,-62.5821723938
2017-02-13T11:39:25.585285,1056000000,-62.5825538635
2017-02-13T11:39:28.602457,1107000000,-63.7278709412
2017-02-13T11:39:31.621630,1158000000,-62.4731292725
2017-02-13T11:39:34.636803,1209000000,-64.0323181152
2017-02-13T11:39:37.661976,1260000000,-64.8180007935
2017-02-13T11:39:40.715150,1311000000,-65.6741256714
2017-02-13T11:39:42.395246,1362000000,-48.676738739
2017-02-13T11:39:43.897332,1413000000,-47.361000061
2017-02-13T11:39:45.416419,1464000000,-46.7655715942
2017-02-13T11:39:47.018511,1515000000,-47.74609375
2017-02-13T11:39:48.505596,1566000000,-48.5562324524
2017-02-13T11:39:50.013682,1617000000,-48.3914260864
2017-02-13T11:39:51.514768,1668000000,-48.4596290588
2017-02-13T11:39:53.024854,1719000000,-49.2263565063
2017-02-13T11:39:54.520940,1770000000,-49.3137207031
2017-02-13T11:39:56.025026,1822000000.0,-49.6850967407
2017-02-13T11:39:57.538113,1873000000.0,-49.7105026245
2017-02-13T11:39:59.051199,1924000000.0,-48.6232337952
2017-02-13T11:40:00.533284,1975000000.0,-49.9033546448
2017-02-13T11:40:02.046370,2026000000.0,-49.6562805176
2017-02-13T11:40:03.572458,2077000000.0,-54.9482154846
2017-02-13T11:40:06.609631,994000000,-67.6643371582
2017-02-13T11:40:09.666806,1045000000,-67.1701660156
2017-02-13T11:40:12.696980,1096000000,-67.8814086914
2017-02-13T11:40:15.730153,1147000000,-67.5874862671
2017-02-13T11:40:18.782328,1198000000,-68.343208313
2017-02-13T11:40:21.795500,1249000000,-68.5715637207
2017-02-13T11:40:24.819673,1300000000,-68.4158935547
2017-02-13T11:40:26.378762,1351000000,-56.821182251
2017-02-13T11:40:27.893849,1402000000,-54.9920120239
2017-02-13T11:40:29.404935,1453000000,-53.6283035278
2017-02-13T11:40:30.912021,1504000000,-55.2809867859
2017-02-13T11:40:32.418108,1555000000,-55.2004089355
2017-02-13T11:40:33.929194,1606000000,-54.4481506348
2017-02-13T11:40:35.430280,1657000000,-56.0530548096
2017-02-13T11:40:36.942366,1708000000,-56.6294708252
2017-02-13T11:40:38.456453,1759000000,-57.8554458618
2017-02-13T11:40:39.956539,1810000000,-56.0045394897
2017-02-13T11:40:41.464625,1862000000.0,-56.2940139771
2017-02-13T11:40:42.962711,1913000000.0,-55.8472633362
2017-02-13T11:40:44.475797,1964000000.0,-57.3323822021
2017-02-13T11:40:45.995884,2015000000.0,-56.3909835815
2017-02-13T11:40:47.490970,2066000000.0,-57.4820785522
2017-02-13T11:40:48.985055,2117000000.0,-59.4287338257
2017-02-13T11:40:51.987227,974000000,-63.4268341064
2017-02-13T11:40:55.033401,1025000000,-62.5979537964
2017-02-13T11:40:58.027572,1076000000,-60.1544494629
2017-02-13T11:41:01.023744,1127000000,-63.4893264771
2017-02-13T11:41:04.040916,1178000000,-64.7901382446
2017-02-13T11:41:07.075090,1229000000,-65.7839889526
2017-02-13T11:41:10.056260,1280000000,-66.0103607178
2017-02-13T11:41:11.609349,1331000000,-51.8339767456
2017-02-13T11:41:13.124436,1382000000,-48.0830535889
2017-02-13T11:41:14.610521,1433000000,-47.7274017334
2017-02-13T11:41:16.133608,1484000000,-48.4147644043
2017-02-13T11:41:17.644694,1535000000,-48.8910446167
2017-02-13T11:41:19.154781,1586000000,-48.5165176392
2017-02-13T11:41:20.641866,1637000000,-49.1536941528
2017-02-13T11:41:22.158953,1688000000,-51.5466308594
2017-02-13T11:41:23.673039,1739000000,-52.2881164551
2017-02-13T11:41:25.187126,1790000000,-51.000869751
2017-02-13T11:41:26.678211,1842000000.0,-49.7882461548
2017-02-13T11:41:28.198298,1893000000.0,-49.9490432739
2017-02-13T11:41:29.713385,1944000000.0,-49.7708702087
2017-02-13T11:41:31.238472,1995000000.0,-50.3991317749
2017-02-13T11:41:32.737558,2046000000.0,-52.0169143677
2017-02-13T11:41:34.250644,2097000000.0,-50.0484161377
